id;cloudy_percent;temp_level;humidity;forecast_for_next_hours;rain_counter;status
1;53562;94609;95562;11605;11394;Upgradable
2;84188;42979;4211;14930;38331;International New generation
3;92813;8479;80597;4561;97090;neutral generate
4;35997;92757;25003;25200;92156;Ramp Grocery
5;87804;63336;31279;46017;16328;web-readiness Coordinator
6;9423;72864;39865;48377;5824;Franc calculate
7;2312;88319;26589;97137;40803;lime
8;57365;9028;56468;50813;71813;Isle success Account
9;97429;95924;74038;52349;29433;invoice invoice Computer
10;39005;28794;70116;99094;25854;Soft multi-byte
